lemma,article,plural,pos,en_gloss,tags
die Reise,die,Reisen,noun,trip,reisen
reisen,,,verb,to travel,reisen
der Urlaub,der,Urlaube,noun,vacation,reisen
das Flugzeug,das,Flugzeuge,noun,airplane,reisen
der Flughafen,der,Flughäfen,noun,airport,reisen
fliegen,,,verb,to fly,reisen
der Zug,der,Züge,noun,train,reisen
das Gleis,das,Gleise,noun,platform (rail),reisen
der Fahrplan,der,Fahrpläne,noun,timetable,reisen
die Fahrkarte,die,Fahrkarten,noun,ticket,reisen
das Gepäck,das,,noun,luggage,reisen
der Koffer,der,Koffer,noun,suitcase,reisen
ankommen,,,verb,to arrive,reisen
abfahren,,,verb,to depart,reisen
buchen,,,verb,to book,reisen
das Hotel,das,Hotels,noun,hotel,reisen
übernachten,,,verb,to stay overnight,reisen
die Grenze,die,Grenzen,noun,border,reisen
verpassen,,,verb,to miss (e.g. a train),reisen
umsteigen,,,verb,to change/transfer,verkehr
die Verspätung,die,Verspätungen,noun,delay,verkehr
das Ticket,das,Tickets,noun,ticket,verkehr
der Schaffner,der,Schaffner,noun,conductor,verkehr
die Praxis,die,Praxen,noun,doctor's practice,gesundheit
der Termin,der,Termine,noun,appointment,gesundheit
die Schmerzen,die,,noun,pain,gesundheit
weh tun,,,verb,to hurt,gesundheit
der Husten,der,,noun,cough,gesundheit
das Fieber,das,,noun,fever,gesundheit
die Erkältung,die,Erkältungen,noun,cold (illness),gesundheit
die Apotheke,die,Apotheken,noun,pharmacy,gesundheit
das Medikament,das,Medikamente,noun,medication,gesundheit
die Tablette,die,Tabletten,noun,pill,gesundheit
sich erholen,,,verb,to recover,gesundheit
untersuchen,,,verb,to examine,gesundheit
der Rücken,der,Rücken,noun,back,koerper
der Hals,der,Hälse,noun,throat/neck,koerper
die Nase,die,Nasen,noun,nose,koerper
der Mund,der,Münder,noun,mouth,koerper
der Zahn,der,Zähne,noun,tooth,koerper
gesund leben,,,phrase,to live healthily,gesundheit
sich fühlen,,,verb,to feel,gesundheit
sich ausruhen,,,verb,to rest,gesundheit
